,age,gender,parent_education_level,household_income,parent_occupation,student_grade_level,study_hours_week,extracurricular_activities,school_type,family_size,internet_access_at_home,parent_involvement,student_gpa,label
957,17,Female,PhD,91550,Unemployed,11th,2,No,Private,2,No,3,1.8,0
958,17,Male,PhD,107422,Healthcare,6th,3,No,Charter,10,No,4,3.2,1
959,14,Other,None,40893,Teacher,6th,24,No,Private,4,No,1,2.9,0
960,22,Female,Bachelor's,62032,Unemployed,6th,46,Yes,Private,3,Yes,1,2.8,1
961,13,Male,Master's,18282,Healthcare,8th,37,Yes,Charter,7,Yes,2,1.4,0
962,23,Other,Bachelor's,27172,Unemployed,6th,14,Yes,Private,8,Yes,3,3.2,0
963,12,Other,Master's,102167,Service,9th,20,Yes,Charter,2,Yes,1,0.2,1
964,17,Other,PhD,27215,Service,6th,34,No,Public,10,Yes,2,0.6,0
965,23,Other,None,78774,Unemployed,10th,45,No,Private,7,No,5,1.3,0
966,16,Other,Bachelor's,106356,Healthcare,7th,13,No,Charter,8,Yes,1,0.3,1
967,25,Other,PhD,16031,Teacher,10th,35,No,Charter,6,No,1,0.9,0
968,25,Female,Master's,85096,Engineer,8th,11,No,Private,6,No,2,3.3,0
969,22,Female,Bachelor's,38484,Teacher,6th,16,No,Public,10,Yes,3,3.8,0
970,20,Female,Bachelor's,144439,Engineer,6th,38,Yes,Private,1,No,1,1.2,0
971,12,Female,PhD,72531,Engineer,9th,8,No,Charter,4,Yes,5,1.1,1
972,18,Male,Bachelor's,120898,Healthcare,11th,34,No,Public,1,Yes,1,1.1,1
973,16,Female,None,82533,Unemployed,6th,12,No,Private,4,No,5,1.1,0
974,16,Other,None,6511,Teacher,12th,14,Yes,Charter,2,Yes,4,0.1,0
975,25,Female,PhD,94972,Unemployed,10th,17,No,Private,5,Yes,4,3.7,1
976,13,Female,Master's,142710,Service,8th,50,No,Public,10,No,5,0.9,1
977,22,Other,PhD,90241,Healthcare,7th,32,Yes,Public,9,No,3,1.7,0
978,14,Female,None,122878,Healthcare,6th,5,No,Public,10,No,1,0.0,0
979,18,Female,High School,132630,Service,7th,26,Yes,Public,3,No,1,3.4,1
980,17,Female,High School,34211,Teacher,6th,22,Yes,Public,8,No,4,2.9,0
981,23,Male,Bachelor's,31806,Service,8th,26,No,Private,3,No,5,3.8,1
982,13,Female,Bachelor's,91647,Teacher,11th,33,No,Public,6,Yes,1,3.1,1
983,17,Other,High School,61654,Engineer,10th,45,Yes,Public,4,Yes,1,1.3,1
984,13,Other,None,125979,Healthcare,8th,37,No,Charter,8,Yes,3,1.0,1
985,13,Female,Bachelor's,135003,Teacher,7th,13,No,Public,6,No,2,2.8,0
986,13,Female,PhD,53013,Unemployed,6th,35,Yes,Charter,8,Yes,4,1.5,1
987,25,Female,PhD,35530,Unemployed,7th,7,Yes,Charter,1,No,4,2.3,1
988,22,Other,None,117078,Healthcare,10th,34,No,Charter,6,Yes,2,0.0,1
989,14,Other,Bachelor's,41220,Service,12th,18,Yes,Private,1,No,1,0.2,0
990,13,Male,PhD,123392,Service,8th,29,No,Private,1,Yes,3,2.1,1
991,15,Male,Bachelor's,63560,Teacher,7th,13,No,Charter,8,No,3,2.3,0
992,20,Male,Bachelor's,100132,Service,7th,19,No,Private,7,No,4,3.0,1
993,17,Other,PhD,14330,Healthcare,10th,48,No,Public,3,No,3,0.5,0
994,12,Male,High School,93578,Teacher,12th,24,Yes,Private,6,No,2,2.1,0
995,19,Female,PhD,67765,Engineer,6th,39,No,Public,9,Yes,1,0.8,1
996,23,Female,None,87991,Service,12th,23,Yes,Public,7,Yes,2,0.4,1
997,25,Other,Master's,25202,Service,7th,13,No,Private,3,No,5,1.6,1
998,18,Male,PhD,110531,Teacher,10th,25,No,Private,6,No,4,0.7,1
999,21,Female,Bachelor's,129419,Unemployed,6th,37,Yes,Charter,4,No,3,0.9,0
