,Gender,Age,Employment status,Company size,Annual income,Education level,Years of experience,Mental health support received from employer,label
985,Female,18-24,Self-employed,Less than 50 employees,155000,Bachelor's degree,10,Not applicable,1
986,Female,45-54,Full-time,10001+ employees,45000,High school diploma,6,Yes,1
987,Male,25-34,Full-time,51-200 employees,180000,Associate degree,22,Not applicable,1
988,Non-binary,35-44,Self-employed,10001+ employees,110000,Doctoral degree,24,No,1
989,Non-binary,65 and above,Retired,Less than 50 employees,185000,High school diploma,12,No,1
990,Prefer not to say,18-24,Retired,201-1000 employees,115000,High school diploma,2,No,1
991,Female,35-44,Part-time,Less than 50 employees,45000,Bachelor's degree,10,No,1
992,Prefer not to say,45-54,Full-time,10001+ employees,120000,Associate degree,16,Not applicable,1
993,Male,35-44,Retired,Less than 50 employees,150000,Associate degree,22,Yes,1
994,Female,25-34,Part-time,10001+ employees,70000,Bachelor's degree,10,Yes,1
995,Non-binary,18-24,Full-time,51-200 employees,35000,High school diploma,20,Yes,1
996,Female,18-24,Full-time,201-1000 employees,60000,Bachelor's degree,12,Not applicable,1
997,Male,65 and above,Self-employed,51-200 employees,145000,Associate degree,16,No,1
998,Non-binary,55-64,Part-time,51-200 employees,135000,Bachelor's degree,24,Not applicable,1
999,Non-binary,25-34,Full-time,10001+ employees,85000,High school diploma,22,Yes,1
