,Gender,Age,Department,Amount of time spent reading books per day,Reason for reading books,How to manage books for reading,Number of e-books you read last two years,Number of printed books you read last two years,Favorite books for reading to spend leisure time,What is the change that you fell after reading books,Who influenced you to read books,Which language books do you like to read,Where do you read printed books,Do you read Newspaper,The format that you used for reading books,Frequency of reading books,target
542,Female,22,BBA,1,To increase my English vocabulary knowledge,Others,1-5,1-5,Non-Fiction,Feel Relax,Self-Decision,Bangla,Home,No,Both,On everyday basis,1
543,Female,21,BBA,2,Academic Purpose,Buy,1-5,11-15,Fiction,Increase Problem Solving Skill,Teachers,English,Home,Yes,Both,On everyday basis,1
544,Male,20,Civil,3,Academic Purpose,Used-all,6-10,6-10,Others,Increase Creative Thinking,Self-Decision,English,Library,No,Both,On everyday basis,1
545,Male,20,Civil,1,Academic Purpose,Used-all,,,Others,Increase Creative Thinking,Parents,English,Home,No,Both,On everyday basis,1
546,Male,20,Civil,2,Academic Purpose,E-books,1-5,6-10,Others,Feel Relax,Self-Decision,Bangla,Home,No,E-books,On everyday basis,1
547,Male,21,Civil,1,Academic Purpose,Buy,,6-10,Biography,Feel Relax,Parents,Bangla,Home,Yes,Both,Less than once a year,1
548,Female,21,CSE,2,Keep me informative,Buy,6-10,6-10,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,On everyday basis,0
549,Male,21,CSE,1,Academic Purpose,E-books,More than 20,6-10,Fiction,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,A few times a week,1
550,Male,19,Pharmacy,2,Academic Purpose,Buy,11-15,1-5,Fiction,Increase Problem Solving Skill,Friends,Bangla,Home,Yes,Printed,On everyday basis,1
551,Female,21,BBA,2,Keep me informative,Used-all,More than 20,More than 20,Others,Increase Creative Thinking,Parents,Others,Home,Yes,Both,A few times a week,1
552,Male,20,BBA,1,Academic Purpose,Used-all,11-15,11-15,Others,Increase Academic Performance,Self-Decision,English,Home,Yes,Both,A few times a week,1
553,Male,19,Textile,4,Keep me informative,Buy,,1-5,Others,Increase Problem Solving Skill,Teachers,English,Home,Yes,Printed,A few times a week,1
554,Male,20,Textile,1,Academic Purpose,Buy,1-5,6-10,Biography,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
555,Male,22,Textile,1,Entertainment Purpose,Used-all,11-15,6-10,Fiction,Feel Relax,Friends,Bangla,Home,No,Both,A few times a week,0
556,Male,21,Textile,3,Academic Purpose,Others,1-5,1-5,Biography,Increase Creative Thinking,Teachers,English,Library,Yes,E-books,On everyday basis,1
557,Female,19,Pharmacy,4,Academic Purpose,Used-all,1-5,16-20,Others,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
558,Female,20,Pharmacy,2,Entertainment Purpose,Borrow,,1-5,Others,Feel Relax,Parents,Bangla,Home,No,Printed,A few times a month,1
559,Female,21,NFE,4,To increase my English vocabulary knowledge,Buy,1-5,1-5,Others,Feel Relax,Parents,Bangla,Library,Yes,Printed,A few times a week,0
560,Female,22,Pharmacy,2,Academic Purpose,Buy,1-5,1-5,Non-Fiction,Increase Academic Performance,Self-Decision,English,Home,No,Both,On everyday basis,1
561,Male,21,Textile,1,Keep me informative,Buy,1-5,16-20,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Printed,A few times a week,0
562,Male,20,Pharmacy,3,Academic Purpose,Buy,1-5,6-10,Fiction,Increase Academic Performance,Teachers,English,Home,No,Printed,A few times a week,1
563,Male,22,BBA,2,Keep me informative,Buy,1-5,1-5,Biography,Increase Problem Solving Skill,Self-Decision,English,Home,Yes,E-books,A few times a week,1
564,Female,20,Pharmacy,2,Academic Purpose,Used-all,More than 20,1-5,Fiction,Feel Relax,Self-Decision,English,During Travel,No,Both,A few times a week,0
565,Male,20,Civil,2,Keep me informative,Used-all,6-10,1-5,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,E-books,On everyday basis,1
566,Female,21,Pharmacy,4,Academic Purpose,Buy,,More than 20,Fiction,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,Printed,On everyday basis,1
567,Female,21,Pharmacy,4,Academic Purpose,Used-all,More than 20,More than 20,Fiction,Increase Creative Thinking,Friends,Bangla,Home,Yes,Both,A few times a week,1
568,Female,19,Pharmacy,1,Entertainment Purpose,E-books,6-10,More than 20,Fiction,Increase Creative Thinking,Parents,Bangla,Home,No,Printed,A few times a week,0
569,Female,21,Pharmacy,3,Academic Purpose,Used-all,1-5,1-5,Others,Increase Problem Solving Skill,Teachers,English,Library,No,Both,On everyday basis,1
570,Male,22,Pharmacy,1,Academic Purpose,Buy,1-5,11-15,Politics,Increase Creative Thinking,Friends,Bangla,Home,No,Printed,A few times a week,0
571,Female,20,CSE,4,Academic Purpose,Used-all,1-5,1-5,Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,No,Both,A few times a month,1
572,Male,23,MCT,1,Academic Purpose,E-books,1-5,1-5,Fiction,Increase Creative Thinking,Teachers,Bangla,Home,No,Both,A few times a week,1
573,Male,22,MCT,1,Keep me informative,E-books,6-10,16-20,Fiction,Increase Creative Thinking,Teachers,Bangla,Home,Yes,Both,A few times a month,0
574,Female,20,CSE,3,Academic Purpose,Buy,1-5,1-5,Biography,Increase Creative Thinking,Parents,English,Library,Yes,Printed,On everyday basis,1
575,Male,21,CSE,1,Academic Purpose,Others,1-5,1-5,Others,Increase Academic Performance,Self-Decision,Bangla,Home,No,Both,Once or twice a year,1
576,Male,22,CSE,3,Academic Purpose,E-books,11-15,6-10,Fiction,Increase Creative Thinking,Friends,Bangla,Home,No,Both,A few times a week,1
577,Male,20,Pharmacy,2,Entertainment Purpose,Borrow,,More than 20,Others,Feel Relax,Self-Decision,Bangla,Home,No,Printed,A few times a week,0
578,Male,22,Textile,3,Keep me informative,Used-all,6-10,1-5,Non-Fiction,Increase Creative Thinking,Self-Decision,English,Home,No,Both,A few times a week,0
579,Male,19,EEE,1,Academic Purpose,E-books,More than 20,6-10,Politics,Increase Creative Thinking,Teachers,English,Library,Yes,E-books,A few times a week,1
580,Male,21,MCT,2,To increase my English vocabulary knowledge,Used-all,6-10,6-10,Biography,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,A few times a week,0
581,Female,21,NFE,4,Academic Purpose,Others,6-10,1-5,Others,Increase Problem Solving Skill,Teachers,Bangla,During Travel,Yes,Both,A few times a month,1
